Timestamp,Source IP,Source Port,Destination IP,Destination Port,Protocol
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,56746,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,56746,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,56746,UDP
19-06-2025 17.42,192.168.0.105,56746,142.251.42.3,443,UDP
19-06-2025 17.42,192.168.0.105,56746,142.251.42.3,443,UDP
19-06-2025 17.42,192.168.0.105,56746,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,56746,UDP
19-06-2025 17.42,192.168.0.105,56746,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,56746,UDP
19-06-2025 17.42,192.168.0.105,56746,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,56746,UDP
19-06-2025 17.42,142.250.70.74,443,192.168.0.105,61809,UDP
19-06-2025 17.42,192.168.0.105,61809,142.250.70.74,443,UDP
19-06-2025 17.42,142.250.70.74,443,192.168.0.105,61809,UDP
19-06-2025 17.42,192.168.0.105,61809,142.250.70.74,443,UDP
19-06-2025 17.42,192.168.0.105,50194,35.163.248.93,443,TCP
19-06-2025 17.42,192.168.0.105,59699,142.250.70.42,443,UDP
19-06-2025 17.42,142.250.70.42,443,192.168.0.105,59699,UDP
19-06-2025 17.42,35.163.248.93,443,192.168.0.105,50194,TCP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.0.105,49991,140.82.113.25,443,TCP
19-06-2025 17.42,140.82.113.25,443,192.168.0.105,49991,TCP
19-06-2025 17.42,192.168.0.105,49827,172.64.155.209,443,TCP
19-06-2025 17.42,172.64.155.209,443,192.168.0.105,49827,TCP
19-06-2025 17.42,192.168.0.105,50199,3.233.158.25,443,TCP
19-06-2025 17.42,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50199,TCP
19-06-2025 17.42,3.233.158.25,443,192.168.0.105,50198,TCP
19-06-2025 17.42,192.168.0.105,61809,142.250.70.74,443,UDP
19-06-2025 17.42,142.250.70.42,443,192.168.0.105,59699,UDP
19-06-2025 17.42,142.250.70.74,443,192.168.0.105,61809,UDP
19-06-2025 17.42,192.168.0.105,59699,142.250.70.42,443,UDP
19-06-2025 17.42,192.168.10.215,59028,239.255.255.250,1900,UDP
19-06-2025 17.42,192.168.10.215,54618,239.255.255.250,1900,UDP
19-06-2025 17.42,192.168.10.215,54618,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.10.215,54618,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.10.215,59028,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.10.215,54618,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.43,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.43,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.43,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.43,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.43,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.43,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.43,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.43,142.250.70.74,443,192.168.0.105,61809,UDP
19-06-2025 17.43,192.168.0.105,61809,142.250.70.74,443,UDP
19-06-2025 17.43,192.168.10.215,59028,239.255.255.250,1900,UDP
19-06-2025 17.43,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.43,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.43,140.82.113.25,443,192.168.0.105,49991,TCP
19-06-2025 17.43,192.168.0.105,49991,140.82.113.25,443,TCP
19-06-2025 17.43,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.43,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.43,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.43,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.43,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.43,140.82.113.25,443,192.168.0.105,49991,TCP
19-06-2025 17.43,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.43,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.43,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.43,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.43,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.43,192.168.0.105,50190,172.64.155.209,443,TCP
19-06-2025 17.43,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.43,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.43,172.64.155.209,443,192.168.0.105,50190,TCP
19-06-2025 17.43,3.233.158.25,443,192.168.0.105,50199,TCP
19-06-2025 17.43,3.233.158.25,443,192.168.0.105,50199,TCP
19-06-2025 17.43,3.233.158.25,443,192.168.0.105,50199,TCP
19-06-2025 17.43,3.233.158.25,443,192.168.0.105,50199,TCP
19-06-2025 17.43,3.233.158.25,443,192.168.0.105,50199,TCP
19-06-2025 17.43,3.233.158.25,443,192.168.0.105,50199,TCP
19-06-2025 17.43,3.233.158.25,443,192.168.0.105,50198,TCP
19-06-2025 17.43,192.168.0.105,50199,3.233.158.25,443,TCP
19-06-2025 17.43,192.168.0.105,50199,3.233.158.25,443,TCP
19-06-2025 17.43,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.43,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.43,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.43,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.1,35020,239.255.255.250,1900,UDP
19-06-2025 17.43,3.233.158.25,443,192.168.0.105,50198,TCP
19-06-2025 17.43,3.233.158.25,443,192.168.0.105,50198,TCP
19-06-2025 17.43,192.168.0.105,50198,3.233.158.25,443,TCP
19-06-2025 17.43,192.168.0.105,59699,142.250.70.42,443,UDP
19-06-2025 17.43,142.250.70.42,443,192.168.0.105,59699,UDP
19-06-2025 17.43,192.168.0.105,50700,142.251.42.3,443,UDP
19-06-2025 17.43,192.168.0.105,50700,142.251.42.3,443,UDP
19-06-2025 17.43,192.168.0.105,50700,142.251.42.3,443,UDP
19-06-2025 17.43,192.168.0.105,50700,142.251.42.3,443,UDP
19-06-2025 17.43,142.251.42.3,443,192.168.0.105,50700,UDP
19-06-2025 17.43,142.251.42.3,443,192.168.0.105,50700,UDP
19-06-2025 17.43,192.168.0.105,50700,142.251.42.3,443,UDP
19-06-2025 17.43,142.251.42.3,443,192.168.0.105,50700,UDP
19-06-2025 17.43,142.251.42.3,443,192.168.0.105,50700,UDP
19-06-2025 17.43,142.251.42.3,443,192.168.0.105,50700,UDP
19-06-2025 17.43,192.168.0.105,50700,142.251.42.3,443,UDP
19-06-2025 17.43,142.251.42.3,443,192.168.0.105,50700,UDP
19-06-2025 17.43,142.251.42.3,443,192.168.0.105,50700,UDP
19-06-2025 17.43,142.251.42.3,443,192.168.0.105,50700,UDP
19-06-2025 17.43,192.168.0.105,50700,142.251.42.3,443,UDP
19-06-2025 17.43,142.251.42.3,443,192.168.0.105,50700,UDP
19-06-2025 17.43,192.168.0.105,50700,142.251.42.3,443,UDP
19-06-2025 17.43,142.251.42.3,443,192.168.0.105,50700,UDP
19-06-2025 17.43,142.251.42.3,443,192.168.0.105,50700,UDP
19-06-2025 17.43,192.168.0.105,50700,142.251.42.3,443,UDP
19-06-2025 17.43,142.251.42.3,443,192.168.0.105,50700,UDP
19-06-2025 17.43,192.168.10.215,59028,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.10.215,59028,239.255.255.250,1900,UDP
19-06-2025 17.43,192.168.0.105,61809,142.250.70.74,443,UDP
19-06-2025 17.43,142.250.70.74,443,192.168.0.105,61809,UDP
19-06-2025 17.43,142.250.70.42,443,192.168.0.105,59699,UDP
19-06-2025 17.43,192.168.0.105,59699,142.250.70.42,443,UDP
19-06-2025 17.43,192.168.10.215,59028,239.255.255.250,1900,UDP
19-06-2025 17.43,142.250.70.74,443,192.168.0.105,61809,UDP
19-06-2025 17.43,142.250.70.74,443,192.168.0.105,61809,UDP
19-06-2025 17.43,192.168.0.105,61809,142.250.70.74,443,UDP
19-06-2025 17.43,192.168.0.105,64507,192.168.0.1,53,UDP
